city,publisher,source,source_url,rank,headline,link,collected_at_iso
Bengaluru,DC,Bengaluru • DC,https://www.deccanchronicle.com/location/india/karnataka/bengaluru,1,Assembly Elections 2026,https://www.deccanchronicle.com/assembly-elections-2026,2026-04-13T22:51:40+00:00
Bengaluru,DC,Bengaluru • DC,https://www.deccanchronicle.com/location/india/karnataka/bengaluru,2,Opinion and Editorials,https://www.deccanchronicle.com/opinion,2026-04-13T22:51:40+00:00
Bengaluru,DC,Bengaluru • DC,https://www.deccanchronicle.com/location/india/karnataka/bengaluru,3,Telangana Rising 2047,https://www.deccanchronicle.com/tags/Telangana-Rising-2047,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,1,"Kandivali gang dupes 10 govt job aspirants, cleans out `1.54 crore",https://mumbaimirror.indiatimes.com/mumbai/kandivali-gang-dupes-10-govt-job-aspirants-cleans-out-1-54-crore/articleshow/130244283.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,2,To catch a phisher,https://mumbaimirror.indiatimes.com/unwind/to-catch-a-phisher/articleshow/130241809.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,3,Took 10 yrs to build this ‘killer’ road,https://mumbaimirror.indiatimes.com/mumbai/cover-story/took-10-yrs-to-build-this-killer-road/articleshow/130244595.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,4,Now Trump declares war on the Pope,https://mumbaimirror.indiatimes.com/opinion/now-trump-declares-war-on-the-pope/articleshow/130241889.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,5,Is this a ‘Royal’ season?,https://mumbaimirror.indiatimes.com/opinion/is-this-a-royal-season/articleshow/130241888.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,6,Fraud victims locked out of their own savings,https://mumbaimirror.indiatimes.com/mumbai/fraud-victims-locked-out-of-their-own-savings/articleshow/130244162.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,7,"FDA flags Bhabha Hospital twice, BMC stays mum",https://mumbaimirror.indiatimes.com/mumbai/cover-story/fda-flags-bhabha-hospital-twice-bmc-stays-mum/articleshow/130244203.html,2026-04-13T22:51:40+00:00
Mumbai,Mumbai Mirror,Mumbai • Mumbai Mirror,https://mumbaimirror.indiatimes.com/mumbai,8,Ask The Sexpert,https://mumbaimirror.indiatimes.com/ask-the-sexpert,2026-04-13T22:51:40+00:00
Mumbai,Sakal,Mumbai • Sakal,https://www.esakal.com/pune,1,सकाळ लाईव्ह TV,https://www.esakal.com/live-tv,2026-04-13T22:51:40+00:00
Mumbai,Sakal,Mumbai • Sakal,https://www.esakal.com/pune,2,Refund and Cancellation,https://www.esakal.com/refund-and-cancellation,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,1,Live News in Marathi,https://www.lokmat.com/live-news/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,2,वैमनस्यातून तरुणाचा तीक्ष्ण शस्त्राने वार करून खून; ४ जण अटकेत,https://www.lokmat.com/pune/youth-stabbed-to-death-with-sharp-weapon-due-to-enmity-4-arrested-a-a727/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,3,"झोपण्याच्या कारणातून वाद; एका वॉचमनने दुसऱ्याचा गमछाने गळा आवळून केला खून, पुण्यातील धक्कादायक घटना",https://www.lokmat.com/pune/argument-over-sleeping-one-watchman-strangled-another-to-death-with-a-rag-shocking-incident-in-pune-a-a727/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,4,"अंगावर गाडी घालून फरफटत नेले; मद्यधुंद कार चालकाने ट्रॅव्हल्स चालकाला चिरडले, पुण्यातील संतापजनक प्रकार",https://www.lokmat.com/pune/drunk-car-driver-crushes-travel-driver-shocking-incident-in-pune-a-a727/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,5,"शेतीसाठी विद्युत मोटार दुरुस्त करताना लागला शॉक; २ सख्ख्या भावांचा पाण्यात बुडून मृत्यू, राजगड तालुक्यातील घटना",https://www.lokmat.com/pune/shock-while-repairing-an-electric-motor-for-agriculture-2-brothers-drowned-to-death-incident-in-rajdgad-taluka-a-a727/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,6,संसाराला हातभार लावण्यासाठी आशाताईंकडं गाण्याशिवाय दुसरा आधार नव्हता,https://www.lokmat.com/pune/asha-bhosle-passed-away-there-was-no-other-support-than-singing-the-song-of-hope-to-contribute-to-the-world-a-a727/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,7,"LIVE: नागपुरात ४.२६ कोटींचे कोकेन जप्त, राजधानी एक्स्प्रेसमध्ये मोठी कारवाई",https://www.lokmat.com/maharashtra/maharashtra-marathi-news-live-updates-13-april-2026-us-iran-war-talks-highlights-donald-trump-israel-benjamin-netanyahu-asha-bhosle-funeral-cm-devendra-fadnavis-pm-narendra-modi-ashok-kharat-crime-case-ipl-2026-a-a573/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,8,"आशा भोसलेंची नात जनाईला धीर द्यायला पोहोचला 'मानलेला भाऊ' मोहम्मद सिराज, पाहा VIDEO",https://www.lokmat.com/mumbai/asha-bhosale-funeral-cricketer-mohammad-siraj-consoles-zanai-bhosale-in-her-tough-times-a-a747/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,9,आजी-आजोबांचा नातवाकडून छळ; सुनेने वृद्ध सासूला काढले घराबाहेर,https://www.lokmat.com/mumbai/grandparents-harassed-by-grandson-daughter-in-law-throws-elderly-mother-in-law-out-of-house-a-a301/,2026-04-13T22:51:40+00:00
Mumbai,Lokmat,Mumbai • Lokmat,https://www.lokmat.com/city/,10,"MPSC भरती प्रक्रियेत मोठा बदल; राज्य मंत्रिमंडळाने घेतले ७ महत्त्वाचे निर्णय, जाणून घ्या",https://www.lokmat.com/maharashtra/big-change-in-mpsc-recruitment-process-maharashtra-cm-devendra-fadnavis-state-cabinet-takes-7-important-decisions-a-a629/,2026-04-13T22:51:40+00:00
